id;title;allday;start;end;description;url_public;url_admin;location_id;location_type;location_name;campus_id;campus_name;audience;category_id;category_name;owner_id;owner_name;presenter;calendar_id;calendar_name;calendar_public;calendar_admin;registration;registration_form_id;registration_series_linked;has_registration_opened;has_registration_closed;physical_seats;physical_seats_taken;online_seats;online_seats_taken;seats_taken;wait_list;color;featured_image;more_info;setup_time;teardown_time
4369206;NVivo - refresher for anthropology master students;FALSE;2025-04-29T11:30:00Z;2025-04-29T13:30:00Z;"<p><em>All are welcome - but this course will be tailored towards anthropology students.</em><br />
<br />
Introduction and recap to NVivo;&nbsp;a program&nbsp;which is a great help when you are working with qualitative data analysis.</p>

<p>We will be taking point of departure in your needs and go through the basic functionalities of the program. We will go through how to organize your projects, how to code and how to work with your data.&nbsp;<br />
&nbsp;</p>

<p>You are welcome to bring your own interview data or fieldnotes or make use of the material in our NVivo course on Absalon:&nbsp;<a href=""https://absalon.ku.dk/courses/71442/"" target=""_blank"">https://absalon.ku.dk/courses/71442/</a></p>

<p><strong>Prior to the course, you must install the version of NVivo called NVivo 14.</strong></p>

<p>This can be done here for Windows:<br />
<a href=""https://download.qsrinternational.com/Software/NVivo14/NVivo.x64.exe"" target=""_blank"">https://download.qsrinternational.com/Software/NVivo14/NVivo.x64.exe</a></p>

<p>And here for Mac:<br />
<a href=""https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg"" target=""_blank"">https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg</a></p>

<p>Registration key is available through the <a href=""https://kunet.ku.dk/self-service/Pages/Software-library.aspx"" target=""_blank"">UCPH Software Library</a>.</p>

<p><strong>Please note:</strong>&nbsp;NVivo can be found int the Software Library under the link&nbsp;&quot;QSR International - NVivo&quot;.</p>

<p>&nbsp;</p>

<p>The course requires a minimum of six participants.</p>

<p>/Nynne Overlund (nyno@kb.dk)</p>";https://kubkalender.kb.dk/event/4369206;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4369206;15906;0;KUB Datalab - Samf;40;KUB City Campus, Gothersgade 140, 1123 København K;;32027;Datalab;43566;Nynne Overlund;Nynne Overlund;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;5673;FALSE;TRUE;TRUE;22;17;0;0;17;TRUE;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1674211150.jpg;;0;0
4216755;Åbent værksted i Labbet / drop in consultations at KUB Datalab;FALSE;2025-04-30T10:30:00Z;2025-04-30T12:30:00Z;"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";https://kubkalender.kb.dk/event/4216755;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4216755;21575;2;Library Lighthouse, Zone 3;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33562;Analysis;16332;Christian Knudsen;;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1680706557.jpg;;0;0
4216755;Åbent værksted i Labbet / drop in consultations at KUB Datalab;FALSE;2025-04-30T10:30:00Z;2025-04-30T12:30:00Z;"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";https://kubkalender.kb.dk/event/4216755;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4216755;21575;2;Library Lighthouse, Zone 3;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33561;Cleaning;16332;Christian Knudsen;;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1680706557.jpg;;0;0
4216755;Åbent værksted i Labbet / drop in consultations at KUB Datalab;FALSE;2025-04-30T10:30:00Z;2025-04-30T12:30:00Z;"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";https://kubkalender.kb.dk/event/4216755;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4216755;21575;2;Library Lighthouse, Zone 3;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;32027;Datalab;16332;Christian Knudsen;;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1680706557.jpg;;0;0
4216755;Åbent værksted i Labbet / drop in consultations at KUB Datalab;FALSE;2025-04-30T10:30:00Z;2025-04-30T12:30:00Z;"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";https://kubkalender.kb.dk/event/4216755;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4216755;21575;2;Library Lighthouse, Zone 3;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33560;Harvesting;16332;Christian Knudsen;;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1680706557.jpg;;0;0
4216755;Åbent værksted i Labbet / drop in consultations at KUB Datalab;FALSE;2025-04-30T10:30:00Z;2025-04-30T12:30:00Z;"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";https://kubkalender.kb.dk/event/4216755;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4216755;21575;2;Library Lighthouse, Zone 3;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33563;Visualisation;16332;Christian Knudsen;;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#18E0F2;https://lcimages-eu.s3.amazonaws.com/data/feat_img/1069/6416/1680706557.jpg;;0;0
4299891;R for absolutte nybegyndere;FALSE;2025-05-06T07:00:00Z;2025-05-06T09:00:00Z;"<p>L&aelig;g venligst m&aelig;rke til, at kurset holdes p&aring; dansk.</p>

<p><em>Please note that this course will be held in Danish. For courses in English, please visit the <a href=""https://kubkalender.kb.dk/calendar/datalab?cid=6416&amp;t=d&amp;d=0000-00-00&amp;cal=6416&amp;inc=0"" target=""_blank"">datalab course calendar</a>.</em></p>

<p>&nbsp;</p>

<p>R et grenerelt programmeringssprog, som er s&aelig;rlig egnet til statistiske analyser og til rens og visualisering af data.</p>

<p>Vi forventer ikke, at du har nogen erfaring med programmering. Derfor tager vi udgangspunkt i nogle af R&#39;s helt grundl&aelig;ggende funktionaliterer, som for eksempel:</p>

<ul>
	<li>RStudios gr&aelig;nseflade og hvordan marn interagerer med R</li>
	<li>Datatyper, variable og objekter</li>
	<li>Enkle aritmetiske og logiske operationer p&aring; data</li>
	<li>At arbejde med funktioner og hvordan man selv skriver en enkel funktion</li>
	<li>Import af data i R</li>
	<li>Opsummerende statistik</li>
	<li>Bearbejdning af tabeller</li>
	<li>Simple grafer, som ser lige s&aring; brugbare, som de er element&aelig;re.</li>
</ul>

<p>Forud for kurset beder vi dig om at installere R og RStudio eller at oprette en konto p&aring; rstudio.cloud. Du kan l&aelig;se mere om, hvordan man g&oslash;r, <a href=""http://kubdatalab.github.io/beginning-R/setup.html"" target=""_blank"">her</a>. Her finder du ogs&aring; kursusmaterialet samt de &oslash;velser, der gennemg&aring;es p&aring; kurset.</p>";https://kubkalender.kb.dk/event/4299891;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4299891;21573;2;Library Lighthouse, Zone 1;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33562;Analysis;16332;Christian Knudsen;Søren Davidsen & Christian Knudsen;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;5673;FALSE;TRUE;TRUE;30;16;0;0;16;TRUE;#18E0F2;https://libapps-eu.s3.amazonaws.com/customers/105/images/R_logo.jpg;;0;0
4299891;R for absolutte nybegyndere;FALSE;2025-05-06T07:00:00Z;2025-05-06T09:00:00Z;"<p>L&aelig;g venligst m&aelig;rke til, at kurset holdes p&aring; dansk.</p>

<p><em>Please note that this course will be held in Danish. For courses in English, please visit the <a href=""https://kubkalender.kb.dk/calendar/datalab?cid=6416&amp;t=d&amp;d=0000-00-00&amp;cal=6416&amp;inc=0"" target=""_blank"">datalab course calendar</a>.</em></p>

<p>&nbsp;</p>

<p>R et grenerelt programmeringssprog, som er s&aelig;rlig egnet til statistiske analyser og til rens og visualisering af data.</p>

<p>Vi forventer ikke, at du har nogen erfaring med programmering. Derfor tager vi udgangspunkt i nogle af R&#39;s helt grundl&aelig;ggende funktionaliterer, som for eksempel:</p>

<ul>
	<li>RStudios gr&aelig;nseflade og hvordan marn interagerer med R</li>
	<li>Datatyper, variable og objekter</li>
	<li>Enkle aritmetiske og logiske operationer p&aring; data</li>
	<li>At arbejde med funktioner og hvordan man selv skriver en enkel funktion</li>
	<li>Import af data i R</li>
	<li>Opsummerende statistik</li>
	<li>Bearbejdning af tabeller</li>
	<li>Simple grafer, som ser lige s&aring; brugbare, som de er element&aelig;re.</li>
</ul>

<p>Forud for kurset beder vi dig om at installere R og RStudio eller at oprette en konto p&aring; rstudio.cloud. Du kan l&aelig;se mere om, hvordan man g&oslash;r, <a href=""http://kubdatalab.github.io/beginning-R/setup.html"" target=""_blank"">her</a>. Her finder du ogs&aring; kursusmaterialet samt de &oslash;velser, der gennemg&aring;es p&aring; kurset.</p>";https://kubkalender.kb.dk/event/4299891;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4299891;21573;2;Library Lighthouse, Zone 1;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;33561;Cleaning;16332;Christian Knudsen;Søren Davidsen & Christian Knudsen;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;5673;FALSE;TRUE;TRUE;30;16;0;0;16;TRUE;#18E0F2;https://libapps-eu.s3.amazonaws.com/customers/105/images/R_logo.jpg;;0;0
4299891;R for absolutte nybegyndere;FALSE;2025-05-06T07:00:00Z;2025-05-06T09:00:00Z;"<p>L&aelig;g venligst m&aelig;rke til, at kurset holdes p&aring; dansk.</p>

<p><em>Please note that this course will be held in Danish. For courses in English, please visit the <a href=""https://kubkalender.kb.dk/calendar/datalab?cid=6416&amp;t=d&amp;d=0000-00-00&amp;cal=6416&amp;inc=0"" target=""_blank"">datalab course calendar</a>.</em></p>

<p>&nbsp;</p>

<p>R et grenerelt programmeringssprog, som er s&aelig;rlig egnet til statistiske analyser og til rens og visualisering af data.</p>

<p>Vi forventer ikke, at du har nogen erfaring med programmering. Derfor tager vi udgangspunkt i nogle af R&#39;s helt grundl&aelig;ggende funktionaliterer, som for eksempel:</p>

<ul>
	<li>RStudios gr&aelig;nseflade og hvordan marn interagerer med R</li>
	<li>Datatyper, variable og objekter</li>
	<li>Enkle aritmetiske og logiske operationer p&aring; data</li>
	<li>At arbejde med funktioner og hvordan man selv skriver en enkel funktion</li>
	<li>Import af data i R</li>
	<li>Opsummerende statistik</li>
	<li>Bearbejdning af tabeller</li>
	<li>Simple grafer, som ser lige s&aring; brugbare, som de er element&aelig;re.</li>
</ul>

<p>Forud for kurset beder vi dig om at installere R og RStudio eller at oprette en konto p&aring; rstudio.cloud. Du kan l&aelig;se mere om, hvordan man g&oslash;r, <a href=""http://kubdatalab.github.io/beginning-R/setup.html"" target=""_blank"">her</a>. Her finder du ogs&aring; kursusmaterialet samt de &oslash;velser, der gennemg&aring;es p&aring; kurset.</p>";https://kubkalender.kb.dk/event/4299891;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4299891;21573;2;Library Lighthouse, Zone 1;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;36627;R;16332;Christian Knudsen;Søren Davidsen & Christian Knudsen;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;5673;FALSE;TRUE;TRUE;30;16;0;0;16;TRUE;#18E0F2;https://libapps-eu.s3.amazonaws.com/customers/105/images/R_logo.jpg;;0;0
4299891;R for absolutte nybegyndere;FALSE;2025-05-06T07:00:00Z;2025-05-06T09:00:00Z;"<p>L&aelig;g venligst m&aelig;rke til, at kurset holdes p&aring; dansk.</p>

<p><em>Please note that this course will be held in Danish. For courses in English, please visit the <a href=""https://kubkalender.kb.dk/calendar/datalab?cid=6416&amp;t=d&amp;d=0000-00-00&amp;cal=6416&amp;inc=0"" target=""_blank"">datalab course calendar</a>.</em></p>

<p>&nbsp;</p>

<p>R et grenerelt programmeringssprog, som er s&aelig;rlig egnet til statistiske analyser og til rens og visualisering af data.</p>

<p>Vi forventer ikke, at du har nogen erfaring med programmering. Derfor tager vi udgangspunkt i nogle af R&#39;s helt grundl&aelig;ggende funktionaliterer, som for eksempel:</p>

<ul>
	<li>RStudios gr&aelig;nseflade og hvordan marn interagerer med R</li>
	<li>Datatyper, variable og objekter</li>
	<li>Enkle aritmetiske og logiske operationer p&aring; data</li>
	<li>At arbejde med funktioner og hvordan man selv skriver en enkel funktion</li>
	<li>Import af data i R</li>
	<li>Opsummerende statistik</li>
	<li>Bearbejdning af tabeller</li>
	<li>Simple grafer, som ser lige s&aring; brugbare, som de er element&aelig;re.</li>
</ul>

<p>Forud for kurset beder vi dig om at installere R og RStudio eller at oprette en konto p&aring; rstudio.cloud. Du kan l&aelig;se mere om, hvordan man g&oslash;r, <a href=""http://kubdatalab.github.io/beginning-R/setup.html"" target=""_blank"">her</a>. Her finder du ogs&aring; kursusmaterialet samt de &oslash;velser, der gennemg&aring;es p&aring; kurset.</p>";https://kubkalender.kb.dk/event/4299891;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=4299891;21573;2;Library Lighthouse, Zone 1;41;KUB Nørre Campus, Nørre Allé 49, 2200 København N;;32027;Datalab;16332;Christian Knudsen;Søren Davidsen & Christian Knudsen;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;5673;FALSE;TRUE;TRUE;30;16;0;0;16;TRUE;#18E0F2;https://libapps-eu.s3.amazonaws.com/customers/105/images/R_logo.jpg;;0;0
